,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
538,2017-06-22,2130.3320371863806,1403.5489587914292,4144.9644048341725,2130.3320371863806,2130.3320371863806,595.1209026749002,595.1209026749002,595.1209026749002,-18.406085766977558,-18.406085766977558,-18.406085766977558,613.5269884418777,613.5269884418777,613.5269884418777,0.0,0.0,0.0,2725.452939861281
539,2017-06-23,2136.5778046813925,1310.2597488647045,4220.715034276474,2136.5778046813925,2136.5778046813925,623.4736785338541,623.4736785338541,623.4736785338541,-3.4142217419501564,-3.4142217419501564,-3.4142217419501564,626.8879002758043,626.8879002758043,626.8879002758043,0.0,0.0,0.0,2760.0514832152467
540,2017-06-24,2142.823572176405,1310.7832490685037,4078.803727299625,2142.823572176405,2142.823572176405,653.362054483311,653.362054483311,653.362054483311,15.189990625915408,15.189990625915408,15.189990625915408,638.1720638573955,638.1720638573955,638.1720638573955,0.0,0.0,0.0,2796.185626659716
541,2017-06-25,2149.069339671417,1369.3090141407877,4394.504122838798,2149.069339671417,2149.069339671417,638.4325699523878,638.4325699523878,638.4325699523878,-9.008198420502277,-9.008198420502277,-9.008198420502277,647.4407683728901,647.4407683728901,647.4407683728901,0.0,0.0,0.0,2787.5019096238047
542,2017-06-26,2155.315107166429,1315.1085686459246,4214.037405644983,2155.315107166429,2155.315107166429,673.3420889469512,673.3420889469512,673.3420889469512,18.540795067024007,18.540795067024007,18.540795067024007,654.8012938799272,654.8012938799272,654.8012938799272,0.0,0.0,0.0,2828.65719611338
543,2017-06-27,2161.560874661441,1488.821878670271,4238.056453322909,2161.560874661441,2161.560874661441,656.2126530546212,656.2126530546212,656.2126530546212,-4.189439791140892,-4.189439791140892,-4.189439791140892,660.4020928457621,660.4020928457621,660.4020928457621,0.0,0.0,0.0,2817.7735277160623
544,2017-06-28,2167.806642156453,1280.147822248514,4247.03019555721,2167.806642156453,2167.806642156453,665.7143489867392,665.7143489867392,665.7143489867392,1.287160027629634,1.287160027629634,1.287160027629634,664.4271889591096,664.4271889591096,664.4271889591096,0.0,0.0,0.0,2833.520991143192
545,2017-06-29,2174.052409651464,1506.5438424304944,4218.437479909988,2174.052409651464,2174.052409651464,648.683912203783,648.683912203783,648.683912203783,-18.406085766861295,-18.406085766861295,-18.406085766861295,667.0899979706444,667.0899979706444,667.0899979706444,0.0,0.0,0.0,2822.7363218552473
546,2017-06-30,2181.457839092269,1404.6833892044522,4277.814670496191,2181.457839092269,2181.457839092269,665.2125599639752,665.2125599639752,665.2125599639752,-3.4142217419590835,-3.4142217419590835,-3.4142217419590835,668.6267817059341,668.6267817059341,668.6267817059341,0.0,0.0,0.0,2846.670399056244
547,2017-07-01,2188.863268533073,1372.8575547298394,4276.7562606223255,2188.863268533073,2188.863268533073,684.4799364131602,684.4799364131602,684.4799364131602,15.18999062600798,15.18999062600798,15.18999062600798,669.2899457871522,669.2899457871522,669.2899457871522,0.0,0.0,0.0,2873.3432049462335
